"","agouti_sequence","image_id","individual","notes"
"129","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/c5d632f7-6143-4b4d-bcf6-b81d6ffde301","1","SPT",""
"130","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/60972c7b-f2a3-4903-80fe-a00172bc51bc","1","SPT",""
"131","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/9dc4040e-342f-4518-a661-1a0a94110eb4","1","TOM","Check this"
"132","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/46c0ef8e-f7f6-4df7-a0ee-dd83c74433d0","1","TOM","Check this"
"133","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/bfc47d9d-0a32-48a1-a32b-b7b95832f7ea","12","SMG","Check"
"134","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/c18c527b-fb96-4c94-92c2-4df3b2eda4d7","1","SPT",""
"135","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/3115d838-2fa7-4c45-b55c-ad38d4e910db","1","SPT",""
"136","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/4d21147b-070c-4771-8c05-8580e3ea3f19","1","SPT",""
"137","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/4f14ea17-aa50-4476-af9a-45fbee7a8c65","1","SPT",""
"138","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/9a6883a4-7992-4ea2-a362-2c63a846b6ac","1","SPT",""
"139","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/ab4eb164-6ee6-4296-90e7-c27425ee63ce","1","SPT",""
"140","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/ab4eb164-6ee6-4296-90e7-c27425ee63ce","11","TOM","Double check ID"
"141","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/47afcf18-4509-456b-905a-f8518f714920","1","SMG",""
"142","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/c1815ea7-1d79-4b9a-9c5e-c8d1307c13f6","1","SPT",""
"143","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/ac24c862-c925-4caf-8051-e6f7e31ad129","1","LAR",""
