"","SourceFile","FileName","CreateDate","create_date_tz_panama","create_date_tz_monterrey_mx","create_date_tz_monterrey_mx_agouti","create_date_tz_berlin","create_date_tz_berlin_agouti"
"212","/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-04-26__14-16-37.MP4","SURVEY-CEBUS-03-01-R1__2017-04-26__14-16-37.MP4","26/04/2017 14:16:37",2017-04-26 14:16:37,2017-04-26 14:16:37,"26/04/2017 14:16:37",2017-04-26 21:16:37,"26/04/2017 21:16:37"
"213","/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-04-26__14-17-13.MP4","SURVEY-CEBUS-03-01-R1__2017-04-26__14-17-13.MP4","26/04/2017 14:17:13",2017-04-26 14:17:13,2017-04-26 14:17:13,"26/04/2017 14:17:13",2017-04-26 21:17:13,"26/04/2017 21:17:13"
"214","/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-04-26__14-17-51.MP4","SURVEY-CEBUS-03-01-R1__2017-04-26__14-17-51.MP4","26/04/2017 14:17:51",2017-04-26 14:17:51,2017-04-26 14:17:51,"26/04/2017 14:17:51",2017-04-26 21:17:51,"26/04/2017 21:17:51"
"215","/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-04-26__14-18-27.MP4","SURVEY-CEBUS-03-01-R1__2017-04-26__14-18-27.MP4","26/04/2017 14:18:27",2017-04-26 14:18:27,2017-04-26 14:18:27,"26/04/2017 14:18:27",2017-04-26 21:18:27,"26/04/2017 21:18:27"
"216","/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-04-26__14-19-06.MP4","SURVEY-CEBUS-03-01-R1__2017-04-26__14-19-06.MP4","26/04/2017 14:19:06",2017-04-26 14:19:06,2017-04-26 14:19:06,"26/04/2017 14:19:06",2017-04-26 21:19:06,"26/04/2017 21:19:06"
"217","/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-04-26__14-19-42.MP4","SURVEY-CEBUS-03-01-R1__2017-04-26__14-19-42.MP4","26/04/2017 14:19:42",2017-04-26 14:19:42,2017-04-26 14:19:42,"26/04/2017 14:19:42",2017-04-26 21:19:42,"26/04/2017 21:19:42"
"218","/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-04-26__15-15-05.MP4","SURVEY-CEBUS-03-01-R1__2017-04-26__15-15-05.MP4","26/04/2017 15:15:05",2017-04-26 15:15:05,2017-04-26 15:15:05,"26/04/2017 15:15:05",2017-04-26 22:15:05,"26/04/2017 22:15:05"
"219","/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-04-26__15-15-42.MP4","SURVEY-CEBUS-03-01-R1__2017-04-26__15-15-42.MP4","26/04/2017 15:15:42",2017-04-26 15:15:42,2017-04-26 15:15:42,"26/04/2017 15:15:42",2017-04-26 22:15:42,"26/04/2017 22:15:42"
"220","/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-04-26__15-16-19.MP4","SURVEY-CEBUS-03-01-R1__2017-04-26__15-16-19.MP4","26/04/2017 15:16:19",2017-04-26 15:16:19,2017-04-26 15:16:19,"26/04/2017 15:16:19",2017-04-26 22:16:19,"26/04/2017 22:16:19"
"221","/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-04-26__15-21-57.MP4","SURVEY-CEBUS-03-01-R1__2017-04-26__15-21-57.MP4","26/04/2017 15:21:57",2017-04-26 15:21:57,2017-04-26 15:21:57,"26/04/2017 15:21:57",2017-04-26 22:21:57,"26/04/2017 22:21:57"
