SourceFile,FileName,CreateDate
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-09-03__18-00-49.MP4,CEBUS-08-R5__2018-09-03__18-00-49.MP4,03/09/2018_18:00:49
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-09-03__18-02-32.MP4,CEBUS-08-R5__2018-09-03__18-02-32.MP4,03/09/2018_18:02:32
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-09-03__18-07-02.MP4,CEBUS-08-R5__2018-09-03__18-07-02.MP4,03/09/2018_18:07:02
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-09-03__18-09-36.MP4,CEBUS-08-R5__2018-09-03__18-09-36.MP4,03/09/2018_18:09:36
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-09-03__18-12-55.MP4,CEBUS-08-R5__2018-09-03__18-12-55.MP4,03/09/2018_18:12:55
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-09-03__18-16-19.MP4,CEBUS-08-R5__2018-09-03__18-16-19.MP4,03/09/2018_18:16:19
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-09-03__18-17-00.MP4,CEBUS-08-R5__2018-09-03__18-17-00.MP4,03/09/2018_18:17:00
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-09-03__18-18-12.MP4,CEBUS-08-R5__2018-09-03__18-18-12.MP4,03/09/2018_18:18:12
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-09-03__18-21-24.MP4,CEBUS-08-R5__2018-09-03__18-21-24.MP4,03/09/2018_18:21:24
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-09-03__18-22-09.MP4,CEBUS-08-R5__2018-09-03__18-22-09.MP4,03/09/2018_18:22:09
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-09-06__16-00-48.MP4,CEBUS-08-R5__2018-09-06__16-00-48.MP4,06/09/2018_16:00:48
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-09-06__17-04-10.MP4,CEBUS-08-R5__2018-09-06__17-04-10.MP4,06/09/2018_17:04:10
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-09-06__17-06-21.MP4,CEBUS-08-R5__2018-09-06__17-06-21.MP4,06/09/2018_17:06:21
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-09-06__17-07-20.MP4,CEBUS-08-R5__2018-09-06__17-07-20.MP4,06/09/2018_17:07:20
