"sequenceid","deploymentid","samplingpoint","projectname","organisationname","isblank","issetuppickup","isunknown","sequencestart","sequenceend","countassets","link"
"3125f7a6-bdf5-4aef-9cd3-73f94811152b","ed1d7fc3-172c-4aa0-8397-e3283b2cc9db","CEBUS-02","Coiba National Park Tool Use","Max Planck Institute for Animal Behavior",,,,"""2018:04:22 12:51:37""","""2018:04:22 12:52:32""","40","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/3125f7a6-bdf5-4aef-9cd3-73f94811152b"
"1470751c-eb59-4d5a-adf2-825471a072ae","ed1d7fc3-172c-4aa0-8397-e3283b2cc9db","CEBUS-02","Coiba National Park Tool Use","Max Planck Institute for Animal Behavior",,,,"""2018:04:20 14:08:06""","""2018:04:20 14:08:33""","30","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/1470751c-eb59-4d5a-adf2-825471a072ae"
"4b791852-9c73-4dea-bf85-77116891c955","ed1d7fc3-172c-4aa0-8397-e3283b2cc9db","CEBUS-02","Coiba National Park Tool Use","Max Planck Institute for Animal Behavior",,,,"""2018:07:13 13:41:37""","""2018:07:13 13:42:40""","30","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/4b791852-9c73-4dea-bf85-77116891c955"
"0411da27-8eb1-4477-ba23-170bf19e3d72","ed1d7fc3-172c-4aa0-8397-e3283b2cc9db","CEBUS-02","Coiba National Park Tool Use","Max Planck Institute for Animal Behavior",,,,"""2018:04:20 12:51:03""","""2018:04:20 12:52:23""","40","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/0411da27-8eb1-4477-ba23-170bf19e3d72"
"cabe35dd-a5c7-4680-83a9-5aa7a30954aa","ed1d7fc3-172c-4aa0-8397-e3283b2cc9db","CEBUS-02","Coiba National Park Tool Use","Max Planck Institute for Animal Behavior",,,,"""2018:04:20 14:21:18""","""2018:04:20 14:21:33""","20","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/cabe35dd-a5c7-4680-83a9-5aa7a30954aa"
"10a9eaa7-d235-4cf8-8f9e-27d6d26965b4","ed1d7fc3-172c-4aa0-8397-e3283b2cc9db","CEBUS-02","Coiba National Park Tool Use","Max Planck Institute for Animal Behavior",,,,"""2018:07:24 18:35:18""","""2018:07:24 18:35:39""","30","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/10a9eaa7-d235-4cf8-8f9e-27d6d26965b4"
"7127efac-8a4e-494b-83d0-83ffa21b2836","ed1d7fc3-172c-4aa0-8397-e3283b2cc9db","CEBUS-02","Coiba National Park Tool Use","Max Planck Institute for Animal Behavior",,,,"""2018:05:23 11:42:12""","""2018:05:23 11:42:26""","20","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/7127efac-8a4e-494b-83d0-83ffa21b2836"
"1344cff4-d2e4-4b18-9c0f-09e7b0a11a28","ed1d7fc3-172c-4aa0-8397-e3283b2cc9db","CEBUS-02","Coiba National Park Tool Use","Max Planck Institute for Animal Behavior",,,,"""2018:07:17 18:16:34""","""2018:07:17 18:17:36""","40","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/1344cff4-d2e4-4b18-9c0f-09e7b0a11a28"
"147360b7-e126-404e-ab2a-a9d3c09a68c7","ed1d7fc3-172c-4aa0-8397-e3283b2cc9db","CEBUS-02","Coiba National Park Tool Use","Max Planck Institute for Animal Behavior",,,,"""2018:07:20 15:44:39""","""2018:07:20 15:45:05""","30","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/147360b7-e126-404e-ab2a-a9d3c09a68c7"
"af186919-4d89-4ead-8989-da2ecd5c42dd","ed1d7fc3-172c-4aa0-8397-e3283b2cc9db","CEBUS-02","Coiba National Park Tool Use","Max Planck Institute for Animal Behavior",,,,"""2018:05:23 11:36:11""","""2018:05:23 11:36:35""","30","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/af186919-4d89-4ead-8989-da2ecd5c42dd"
"9bba4083-7205-4db1-87d0-b57b74a51cf2","ed1d7fc3-172c-4aa0-8397-e3283b2cc9db","CEBUS-02","Coiba National Park Tool Use","Max Planck Institute for Animal Behavior",,,,"""2018:07:03 08:50:53""","""2018:07:03 08:51:36""","40","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/9bba4083-7205-4db1-87d0-b57b74a51cf2"
"7a2a1d94-62e2-4950-b748-40c9746b2575","ed1d7fc3-172c-4aa0-8397-e3283b2cc9db","CEBUS-02","Coiba National Park Tool Use","Max Planck Institute for Animal Behavior",,,,"""2018:05:26 12:04:32""","""2018:05:26 12:05:26""","30","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/7a2a1d94-62e2-4950-b748-40c9746b2575"
"86dbc419-c2dd-41b7-ac3b-e0b4e9c69376","ed1d7fc3-172c-4aa0-8397-e3283b2cc9db","CEBUS-02","Coiba National Park Tool Use","Max Planck Institute for Animal Behavior",,,,"""2018:06:27 17:45:41""","""2018:06:27 17:46:03""","20","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/86dbc419-c2dd-41b7-ac3b-e0b4e9c69376"
"8c09b5c2-ecde-43b3-adbf-93b5248131c2","ed1d7fc3-172c-4aa0-8397-e3283b2cc9db","CEBUS-02","Coiba National Park Tool Use","Max Planck Institute for Animal Behavior",,,,"""2018:05:12 13:16:41""","""2018:05:12 13:17:28""","40","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/8c09b5c2-ecde-43b3-adbf-93b5248131c2"
