Observation id	Observation date	Description	Media file	Total length	FPS	Coder ID	Subject	Behavior	Behavioral category	Modifiers	Behavior type	Start (s)	Stop (s)	Duration (s)	Comment start	Comment stop
EXP-ANV-01-R11__2022-03-25__18-08-10	2023-01-03 15:32:27		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-25__18-08-10.MP4	60.690	29.97	ZG	PEA	reposit	Behavior	item	POINT	17.251	17.251	NA		
EXP-ANV-01-R11__2022-03-25__18-09-55	2023-01-03 15:37:26		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-25__18-09-55.MP4	60.860	29.97	ZG	SPT	pound	Behavior	stand|None|None	POINT	17.317	17.317	NA		
EXP-ANV-01-R11__2022-03-16__17-25-55	2023-01-02 16:14:31		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-16__17-25-55.MP4	60.890	29.97	ZG	BAL	misstrike	Behavior	itemflies	POINT	17.451	17.451	NA		
EXP-ANV-01-R11__2022-03-17__18-13-45	2023-01-03 11:42:19		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-17__18-13-45.MP4	60.890	29.97	ZG	PEA	pound	Behavior	crouch|None|None	POINT	17.584	17.584	NA		
EXP-ANV-01-R11__2022-03-17__08-36-56	2023-01-03 11:28:06		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-17__08-36-56.MP4	60.860	29.97	ZG	PEA	pound	Behavior	stand|None|None	POINT	17.618	17.618	NA		
EXP-ANV-01-R11__2022-03-23__09-05-55	2023-01-03 14:19:00		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-23__09-05-55.MP4	60.890	29.97	ZG	juvenileunknown	pound	Behavior	stand|None|None	POINT	17.651	17.651	NA		
EXP-ANV-01-R11__2022-04-25__13-27-27	2023-01-04 15:20:06		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-04-25__13-27-27.MP4	60.890	29.97	ZG	juvenileunknown	reposit	Behavior	hammer	POINT	17.784	17.784	NA		
EXP-ANV-01-R11__2022-03-16__17-22-57	2023-01-02 16:32:14		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-16__17-22-57.MP4	60.890	29.97	ZG	BAL	reposit	Behavior	peel	POINT	17.851	17.851	NA		
EXP-ANV-01-R11__2022-04-25__12-43-56	2023-01-04 13:22:39		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-04-25__12-43-56.MP4	60.860	29.97	ZG	TOM	seqstart	Sequence info	almendrabrown	POINT	17.851	17.851	NA		
EXP-ANV-01-R11__2022-04-25__12-43-56	2023-01-04 13:22:39		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-04-25__12-43-56.MP4	60.860	29.97	ZG	TOM	hammerstone	Sequence info	onanvil|None|None|e_onanvil	POINT	17.852	17.852	NA	DWA_A	
EXP-ANV-01-R11__2022-03-25__18-14-02	2023-01-03 15:43:41		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-25__18-14-02.MP4	60.860	29.97	ZG	juvenileunknown	pound	Behavior	stand|1foot|None	POINT	17.918	17.918	NA		
EXP-ANV-01-R11__2022-03-16__17-08-45	2023-01-02 16:18:38		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-16__17-08-45.MP4	60.730	29.97	ZG	BAL	seqend	Sequence info	opened|None|None|None	POINT	18.011	18.011	NA		
EXP-ANV-01-R11__2022-03-20__11-44-23	2023-01-03 12:31:20		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-20__11-44-23.MP4	60.860	29.97	ZG	SPT	pound	Behavior	crouch|None|None	POINT	18.018	18.018	NA		
EXP-ANV-01-R11__2022-04-25__13-39-47	2023-01-04 16:12:12		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-04-25__13-39-47.MP4	60.860	29.97	ZG	MIC	seqstart	Sequence info	almendrabrown	POINT	18.018	18.018	NA		
EXP-ANV-01-R11__2022-04-25__13-39-47	2023-01-04 16:12:12		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-04-25__13-39-47.MP4	60.860	29.97	ZG	MIC	hammerstone	Sequence info	onanvil|None|None|e_onanvil	POINT	18.019	18.019	NA	DWA_A	
EXP-ANV-01-R11__2022-04-25__12-50-13	2023-01-04 14:09:00		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-04-25__12-50-13.MP4	60.890	29.97	ZG	ZIM	pound	Behavior	stand|None|None	POINT	18.051	18.051	NA		
EXP-ANV-01-R11__2022-03-16__17-06-05	2023-01-02 14:25:31		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-16__17-06-05.MP4	60.860	29.97	ZG	BAL	pound	Behavior	crouch|None|overhead	POINT	18.185	18.185	NA		
